Jugada Valida
b1,co1,o1,s2,f2,s2,p2,s3,b3,f3,s3,p3,ce2,f1,f1,co1,o1,b2,f2,s2,b2,s2,p2,s3,co3,o3,ce1,f4,s4,f4,b4,co4,hi4,a14,co5,o5,f6,co6,o6,b7,co7,hi7,a24,a17,b8,b8,d8,a34,a27,a18,a44,a37,a28,b9,s9,w9,a47,a38,a19,co1,hi1,a48,a29,a11,co2,hi2,a39,a21,a12,co3,o3,ce2,b4,f4,b4,b4,f4,co4,o4,f5,co5,o5,f6,b6,co6,o6,ce1,b4,f4,s4,b4,f4,co4,o4,co5,o5,s6,co6,o6,ce2,b7,co7,o7,s8,co8,o8,f9,f9,co9,hi9,a19,r9,a29,f1,s1,r9,a39,r9,a49,s1,f1,co1,o1,ce1,co7,hi7,a17,f8,f8,s8,p8,s9,s9,dp9,o7,o9,ce2,co2,hi2,a12,f3,f3,s3,p3,s4,r2,a22,co4,o4,co5,o5,ce1,f1,s1,b1,f1,co1,o1,h2,a12,a22,a32,a42,b3,b3,f3,co3,hi3,a13,tb4,a23,a14,o4,b5,s5,co5,hi5,a33,a15,co6,hi6,a43,a25,a16,f7,co7,hi7,a35,a26,a17,f8,f8,co8,o8,ce2,b6,b6,co6,o6,s7,co7,o7,b8,s8,f8,s8,p8,ce1,b9,s9,b9,f9,s9,p9,co1,o1,b2,f2,b2,s2,co2,hi2,a12,s3,f3,b3,s3,p3,ce2,bo9,a19,b1,dp1,o9,o1,s2,co2,o2,ce1,s4,co4,o4,b5,f5,f5,co5,hi5,a15,r5,a25,co6,o6,s7,f7,r5,a35,co7,o7,ce2,f3,b3,f3,b3,b3,b3,bp3,a13,co4,hi4,a23,a14,b5,s5,f5,b5,f5,dp5,o4,o5,s6,co6,hi6,a33,a16,f7,r3,a43,co7,o7,ce1,f8,s8,f8,s8,p8,b9,s9,f9,b9,b9,f9,b9,bp9,a19,f1,f1,b1,co1,hi1,a29,a11,dp2,o1,o2,ce2,s8,f8,co8,o8,co9,hi9,a19,b1,b1,s1,f1,f1,s1,p1,h2,a29,a12,a39,a22,a49,a32,a42,f3,f3,s3,p3,ce1,s3,co3,hi3,a13,dp4,o3,o4,s5,b5,co5,hi5,a15,h6,a25,a16,a35,a26,a45,a36,a46,co7,o7,ce2,b4,co4,o4,h5,a15,a25,a35,a45,w6,a16,r6,a26,dp7,o6,o7,ce1,ff1.

Historial

1). 	 1 bola   	1 	Yankees
2). 	 Conctato a pelota   	1 	Yankees
3). 	 out   	1 	Yankees
4). 	 strike   	2 	Yankees
5). 	 foul   	2 	Yankees
6). 	 strike   	2 	Yankees
7). 	 ponche   	2 	Yankees
8). 	 strike   	3 	Yankees
9). 	 1 bola   	3 	Yankees
10). 	 foul   	3 	Yankees
11). 	 strike   	3 	Yankees
12). 	 ponche   	3 	Yankees
13). 	 Cambio de juego   	2 	Yankees
14). 	 foul   	1 	Indios
15). 	 foul   	1 	Indios
16). 	 Conctato a pelota   	1 	Indios
17). 	 out   	1 	Indios
18). 	 1 bola   	2 	Indios
19). 	 foul   	2 	Indios
20). 	 strike   	2 	Indios
21). 	 2 bola   	2 	Indios
22). 	 strike   	2 	Indios
23). 	 ponche   	2 	Indios
24). 	 strike   	3 	Indios
25). 	 Conctato a pelota   	3 	Indios
26). 	 out   	3 	Indios
27). 	 Cambio de juego   	1 	Indios
28). 	 foul   	4 	Yankees
29). 	 strike   	4 	Yankees
30). 	 foul   	4 	Yankees
31). 	 1 bola   	4 	Yankees
32). 	 Conctato a pelota   	4 	Yankees
33). 	 hit   	4 	Yankees
34). 	 Movimiento a 1er. base   	4 	Yankees
35). 	 Conctato a pelota   	5 	Yankees
36). 	 out   	5 	Yankees
37). 	 foul   	6 	Yankees
38). 	 Conctato a pelota   	6 	Yankees
39). 	 out   	6 	Yankees
40). 	 1 bola   	7 	Yankees
41). 	 Conctato a pelota   	7 	Yankees
42). 	 hit   	7 	Yankees
43). 	 Movimiento a 2da. base   	4 	Yankees
44). 	 Movimiento a 1er. base   	7 	Yankees
45). 	 1 bola   	8 	Yankees
46). 	 2 bola   	8 	Yankees
47). 	 doblete   	8 	Yankees
48). 	 Movimiento a 3er. base   	4 	Yankees
49). 	 Movimiento a 2da. base   	7 	Yankees
50). 	 Movimiento a 1er. base   	8 	Yankees
51). 	 Movimiento a home   	4 	Yankees
52). 	 Movimiento a 3er. base   	7 	Yankees
53). 	 Movimiento a 2da. base   	8 	Yankees
54). 	 1 bola   	9 	Yankees
55). 	 strike   	9 	Yankees
56). 	 wild pitch   	9 	Yankees
57). 	 Movimiento a home   	7 	Yankees
58). 	 Movimiento a 3er. base   	8 	Yankees
59). 	 Movimiento a 1er. base   	9 	Yankees
60). 	 Conctato a pelota   	1 	Yankees
61). 	 hit   	1 	Yankees
